bucket index,bucket size
97,4558
98,2272
99,4174
100,2789
101,1903
102,1771
103,1126
104,1312
105,1997
106,293
107,253
108,1300
109,2310
110,872
111,1102
112,4962
113,304
114,2459
115,8077
116,2978
117,1702
118,655
119,1510
120,26
121,150
122,117
